Accession,Accession,Accession,Accession
MT649587.1,MT649587.1,MK531773.1,MH047201.1
MT649559.1,MT649559.1,KM096316.1,KM507270.1
MT649550.1,MT649554.1,KM222211.1,KM222210.1
MT544459.1,MT649550.1,KJ950501.1,KM222209.1
MT487776.1,MT544459.1,MW660788.1,MZ314561.1
MT482708.1,MT487776.1,AF548083.1,MZ314560.1
MT328157.1,MT482708.1,AF548313.1,MZ314559.1
MT328150.1,MT328158.1,,MZ314558.1
MT328142.1,MT328157.1,,MZ314557.1
MK531786.1,MT328155.1,,MZ314556.1
MK531773.1,MT328154.1,,MZ314555.1
MK371716.1,MT328153.1,,MZ314554.1
MN995542.1,MT328152.1,,MW660788.1
MN995538.1,MT328150.1,,KC664258.1
MN995518.1,MT328142.1,,MW381534.1
MN995507.1,MT328141.1,,EU175650.1
MN995484.1,MT328140.1,,EU175486.1
MN995474.1,MK531786.1,,EU175485.1
MN906962.1,MK531773.1,,DQ447615.1
MN893464.1,MT233418.1,,AF548083.1
MN893461.1,MT000338.1,,AF548082.1
MN826497.1,MK371716.1,,
MN602644.1,MN995542.1,,
MN514180.1,MN995538.1,,
MN396383.1,MN995518.1,,
MN044770.1,MN995507.1,,
MN044711.1,MN995474.1,,
MK204575.1,MN906962.1,,
LR536747.1,MN906955.1,,
LR536745.1,MN906952.1,,
LR536743.1,MN893464.1,,
LR536742.1,MN893461.1,,
MK841479.1,MN826497.1,,
MK720046.1,MN602644.1,,
MK685358.1,MN514180.1,,
MK615874.1,MN396383.1,,
MH051054.1,MN396382.1,,
MK069498.1,MN396380.1,,
NG_062729.1,MH636842.1,,
MG739303.1,MK164093.1,,
XR_003303737.1,MN044711.1,,
MG840710.1,LR536747.1,,
MG840685.1,LR536746.1,,
MG569598.1,LR536745.1,,
MH791194.1,LR536743.1,,
MH791193.1,LR536742.1,,
MH791188.1,MK685358.1,,
MH791185.1,MK615874.1,,
MH791177.1,MK615868.1,,
MH791175.1,MH051054.1,,
