Accession,Accession,Accession,Accession
MH791173.1,MK069498.1,,
MK463996.1,NG_062729.1,,
MK500617.1,MG739303.1,,
LR026995.1,MH681288.1,,
MK371744.1,MH879791.1,,
MK300050.1,MH793558.1,,
MH595924.1,MH791194.1,,
LC371026.1,MH791193.1,,
KY465992.1,MH791188.1,,
MH150818.1,MH791185.1,,
MG820459.1,MH791183.1,,
MH047201.1,MH791177.1,,
MF099649.1,MH791175.1,,
KJ475819.1,MH791173.1,,
MG736296.1,MK463996.1,,
MG585101.1,MK500617.1,,
MF072609.1,LR026995.1,,
MF072608.1,MK371744.1,,
MF072607.1,MK300050.1,,
MF072606.1,MH595925.1,,
MF072605.1,MH595924.1,,
MF072604.1,MH430572.1,,
MF072603.1,MH430571.1,,
MF072601.1,KY465992.1,,
MF072600.1,MH259812.1,,
MF072599.1,MH150818.1,,
MF072598.1,MG820459.1,,
MF072596.1,MF919637.1,,
MG547961.1,MH047201.1,,
MG547960.1,MF099649.1,,
MG386503.1,KJ475819.1,,
MG228391.1,MG770611.1,,
MG015953.1,MG736296.1,,
MG015950.1,KY448996.1,,
KX906964.1,MG585101.1,,
KX553859.1,MG580937.1,,
MF176073.1,MF072609.1,,
KX580630.1,MF072608.1,,
KX457679.1,MF072607.1,,
KX457676.1,MF072606.1,,
KX457675.1,MF072605.1,,
KX457672.1,MF072604.1,,
KX457671.1,MF072603.1,,
KX457670.1,MF072601.1,,
MF040753.1,MF072600.1,,
KY115198.1,MF072599.1,,
KU752217.1,MF072598.1,,
LC109063.1,MF072596.1,,
KX218384.1,MG547961.1,,
KY398724.1,MG547960.1,,
KX431147.1,MG386503.1,,
KU587811.1,MG228391.1,,
KU350746.1,MG015953.1,,
KU559908.1,MG015950.1,,
KT582529.1,KX906964.1,,
KT582511.1,KX553859.1,,
KT582507.1,MF176073.1,,
KT582495.1,KX580630.1,,
KT582272.1,KX457679.1,,
KT582268.1,KX457678.1,,
KT582265.1,KX457676.1,,
KT582264.1,KX457675.1,,
KT582256.1,KX457672.1,,
KT582252.1,KX457671.1,,
KT582250.1,KX457670.1,,
KT582247.1,MF040753.1,,
KT582244.1,KY115198.1,,
KT351452.1,KU752217.1,,
KT072191.1,LC109063.1,,
KR906022.1,KX218384.1,,
KT832784.1,KY398724.1,,
KR108918.1,KY368614.1,,
KP974172.1,KY368611.1,,
KT601570.1,KU587811.1,,
KP872532.1,KU350746.1,,
KP872518.1,KU359431.1,,
KP872511.1,KU559908.1,,
KP872510.1,KT582529.1,,
KP872509.1,KT582528.1,,
KP872507.1,KT582525.1,,
KP872506.1,KT582518.1,,
KM096365.1,KT582510.1,,
KM096332.1,KT582495.1,,
KM096328.1,KT582494.1,,
KM096326.1,KT582274.1,,
KM096325.1,KT582272.1,,
KM096324.1,KT582268.1,,
KM096323.1,KT582267.1,,
KM096320.1,KT582266.1,,
KM096316.1,KT582265.1,,
KM096305.1,KT582264.1,,
KM096302.1,KT582256.1,,
KM096301.1,KT582252.1,,
KM096298.1,KT582251.1,,
KM096296.1,KT582250.1,,
KM096295.1,KT582247.1,,
KM096293.1,KT582244.1,,
KM096280.1,KT351452.1,,
KM096279.1,KT072191.1,,
KM096271.1,KT832784.1,,
KM096270.1,KR108918.1,,
KM096263.1,KP974172.1,,
KM096175.1,KT601570.1,,
KM096155.1,KP872532.1,,
KR611567.1,KP872518.1,,
LN555560.1,KP872511.1,,
LN555339.1,KP872510.1,,
KP256500.1,KP872509.1,,
KJ443076.1,KP872507.1,,
KP190122.1,KP872506.1,,
KM655755.1,KM096365.1,,
KM222262.1,KM096332.1,,
KM222259.1,KM096328.1,,
KM222219.1,KM096326.1,,
KM222216.1,KM096325.1,,
KF703484.1,KM096324.1,,
KF703483.1,KM096322.1,,
KF703482.1,KM096316.1,,
KF703481.1,KM096305.1,,
KF703480.1,KM096303.1,,
KF703479.1,KM096302.1,,
KF703478.1,KM096301.1,,
KF703477.1,KM096299.1,,
KF703476.1,KM096298.1,,
KF703475.1,KM096297.1,,
KF703474.1,KM096296.1,,
KF703473.1,KM096295.1,,
KF703472.1,KM096294.1,,
KF703471.1,KM096293.1,,
KF703470.1,KM096282.1,,
KF703469.1,KM096280.1,,
KF703467.1,KM096279.1,,
KF703466.1,KM096273.1,,
KF703465.1,KM096271.1,,
KF703464.1,KM096267.1,,
KF703463.1,KM096263.1,,
KF703462.1,KM096175.1,,
KF703461.1,KM096170.1,,
KF703460.1,KR611567.1,,
KF703458.1,LN555560.1,,
KF703457.1,KP256500.1,,
KF703456.1,KJ443076.1,,
KF703455.1,KP190122.1,,
KF703454.1,KM655755.1,,
KF703453.1,KP115830.1,,
KF703452.1,KP115829.1,,
KF703451.1,KM222292.1,,
KF703450.1,KM222262.1,,
KF703449.1,KM222259.1,,
KJ747402.1,KM222258.1,,
KJ680324.1,KM222236.1,,
KJ467776.1,KM222235.1,,
OK143215.1,KM222223.1,,
OK011812.1,KM222219.1,,
OK011811.1,KM222216.1,,
MZ913018.1,KM222215.1,,
MZ867976.1,KM222211.1,,
KF776918.1,KM222209.1,,
KF776917.1,KJ950501.1,,
KF857287.1,KF703484.1,,
KF741226.1,KF703483.1,,
KF562838.1,KF703482.1,,
KF018471.1,KF703481.1,,
KF018468.1,KF703480.1,,
KF018467.1,KF703479.1,,
KF018461.1,KF703478.1,,
KF018460.1,KF703477.1,,
KF018450.1,KF703476.1,,
KF018449.1,KF703475.1,,
KF018447.1,KF703474.1,,
KF018446.1,KF703473.1,,
KF018445.1,KF703472.1,,
KF018444.1,KF703471.1,,
KF018440.1,KF703470.1,,
KF018439.1,KF703469.1,,
KF152942.1,KF703467.1,,
KC962231.1,KF703466.1,,
MZ314129.1,KF703465.1,,
NG_074920.1,KF703464.1,,
KC790520.1,KF703462.1,,
KC670741.1,KF703461.1,,
MZ081843.1,KF703460.1,,
MT365126.1,KF703455.1,,
MW660788.1,KF703454.1,,
LC606566.1,KF703453.1,,
LC606558.1,KF703452.1,,
LC606554.1,KF703451.1,,
MW624358.1,KF703450.1,,
CP060778.1,KF703449.1,,
JQ349066.1,KJ747402.1,,
KC143067.1,KJ680324.1,,
JX273056.1,KJ467776.1,,
JX134614.1,OK011812.1,,
JX132791.1,OK011811.1,,
MW485519.1,MZ913018.1,,
MW412483.1,MZ867976.1,,
MN160218.1,MZ867975.1,,
MN160216.1,KF776918.1,,
JQ664732.1,KF776917.1,,
JF718786.1,KF857287.1,,
JN886804.1,KF971855.1,,
JN886803.1,KF971853.1,,
JQ277475.1,KF971849.1,,
GU561988.1,KF971844.1,,
JN642222.1,KF971843.1,,
JN397377.1,KF741226.1,,
JN397370.1,KF562838.1,,
JN939046.1,MZ645946.1,,
JN938978.1,KF018471.1,,
JN938976.1,KF018468.1,,
JN938971.1,KF018467.1,,
JN938966.1,KF018461.1,,
JN938965.1,KF018450.1,,
JN938964.1,KF018444.1,,
JN938963.1,KF018439.1,,
JN938962.1,KF152942.1,,
JN938959.1,KC962231.1,,
JN938958.1,MZ314129.1,,
JN938957.1,NG_074930.1,,
JN939262.1,NG_074925.1,,
JN939261.1,NG_074920.1,,
JN939257.1,NG_074919.1,,
JN939256.1,KC790520.1,,
JN939254.1,KC670741.1,,
JN939252.1,KC545840.1,,
JN939251.1,MZ081843.1,,
JN939249.1,MT365145.1,,
JN939248.1,MT365126.1,,
JN939245.1,MT365125.1,,
JN939242.1,MW660788.1,,
NG_062833.1,LC606566.1,,
JN939238.1,LC606558.1,,
JN939234.1,LC606554.1,,
JN939233.1,MW624358.1,,
JN939231.1,CP060778.1,,
JN939229.1,JQ349066.1,,
JN939228.1,KC143067.1,,
JN939227.1,JX480902.1,,
JN939225.1,JX192598.1,,
JN939224.1,JX273056.1,,
JN939220.1,JX196870.1,,
JN939219.1,JX196868.1,,
JN939205.1,JX134614.1,,
JN939215.1,JX132791.1,,
JN939213.1,MW485519.1,,
JN939211.1,MW412483.1,,
JN939209.1,MW412482.1,,
JN939208.1,MW331680.1,,
JN939207.1,MN160216.1,,
JN939206.1,JQ664732.1,,
JN176207.1,JF718786.1,,
JN176206.1,JN886804.1,,
MW077356.1,JN886803.1,,
MT770946.1,GU561988.1,,
MT770931.1,JN642222.1,,
MT762177.1,JN825677.1,,
JF950269.1,JN397370.1,,
HQ455812.1,JN939046.1,,
GU809208.1,JN938978.1,,
FN561810.1,JN938976.1,,
HQ199462.1,JN938971.1,,
HM161749.1,JN938966.1,,
GU573852.1,JN938965.1,,
GU361536.1,JN938964.1,,
GU295948.1,JN938963.1,,
GU082484.1,JN938962.1,,
GU227344.1,JN938959.1,,
GU227342.1,JN938958.1,,
GU227341.1,JN938957.1,,
GU190185.1,JN939223.1,,
GU078431.1,JN939265.1,,
GQ458039.1,NG_062834.1,,
GQ458038.1,JN939262.1,,
GQ458035.1,JN939261.1,,
GQ458026.1,JN939257.1,,
GQ458020.1,JN939256.1,,
GQ253349.1,JN939255.1,,
GQ169434.1,JN939254.1,,
GQ169432.1,JN939252.1,,
GQ169426.1,JN939251.1,,
GQ169425.1,JN939249.1,,
GQ169423.1,JN939248.1,,
GQ169422.1,JN939247.1,,
GQ169421.1,NG_062832.1,,
GQ169418.1,JN939245.1,,
GQ169417.1,JN939244.1,,
GQ169416.1,JN939242.1,,
GQ169409.1,JN939212.1,,
GQ169408.1,NG_062833.1,,
GQ169405.1,JN939238.1,,
GQ169393.1,JN939237.1,,
GQ120164.1,JN939236.1,,
FJ716248.1,JN939235.1,,
FJ716242.1,JN939234.1,,
FJ717700.1,JN939233.1,,
FJ717699.1,JN939232.1,,
FJ717698.1,JN939231.1,,
FJ545752.1,JN939229.1,,
FJ458446.1,JN939228.1,,
FJ430775.1,JN939227.1,,
AM920431.1,JN939226.1,,
EU710741.1,JN939225.1,,
EU710737.1,JN939224.1,,
EU667998.1,JN939222.1,,
EU594361.1,JN939220.1,,
EU590663.1,JN939219.1,,
EU381148.1,JN939205.1,,
EU273880.1,JN939217.1,,
EU203859.1,JN939216.1,,
EF413620.1,JN939215.1,,
EF608151.1,JN939214.1,,
EF607282.1,JN939213.1,,
EF491160.1,JN939211.1,,
EF411061.1,JN939210.1,,
DQ304714.1,JN939209.1,,
DQ304713.1,JN939208.1,,
EF060614.1,JN939207.1,,
EF060600.1,JN939206.1,,
DQ810190.1,JN176207.1,,
AY681470.1,JN176206.1,,
AY681469.1,JF971863.1,,
AY681468.1,MW077356.1,,
AY681467.1,MT770951.1,,
AY681466.1,MT770946.1,,
AY681465.1,MT770931.1,,
AY681464.1,MT770926.1,,
AY681463.1,MT762177.1,,
AY681457.1,JF950269.1,,
AY681446.1,JF826369.1,,
AY681445.1,JF826336.1,,
AY681442.1,JN003153.1,,
AY681417.1,NG_062801.1,,
AY681415.1,HQ455812.1,,
AY681414.1,HQ882177.1,,
AY681412.1,GU809208.1,,
AY681374.1,HM475183.1,,
AY681367.1,HM161749.1,,
AY681364.1,GU573852.1,,
AY681359.1,GU361536.1,,
AY586452.1,GU082484.1,,
AY556499.1,GU227344.1,,
AY556486.1,GU227342.1,,
AY379103.1,GU190185.1,,
DQ133539.1,GU078431.1,,
AF545633.1,GQ458039.1,,
AF548090.1,GQ458038.1,,
AF548089.1,GQ458035.1,,
NG_062634.1,GQ458026.1,,
AF548087.1,GQ458020.1,,
AF548083.1,GQ253349.1,,
AF548082.1,GQ169416.1,,
DQ401106.1,GQ120166.1,,
AY297772.1,GQ120164.1,,
AY172590.1,FJ716250.1,,
AB074658.1,FJ716248.1,,
AF516139.1,FJ716242.1,,
AF411201.1,FJ717700.1,,
AF245266.1,FJ717699.1,,
DQ266450.1,FJ717698.1,,
AF548298.1,FJ545752.1,,
AF548306.1,FJ517768.1,,
AB028137.1,FJ458446.1,,
AF236103.1,FJ430775.1,,
AF218787.1,FJ430772.1,,
AF218786.1,FJ430771.1,,
AB028190.1,FJ430766.1,,
AJ005446.1,AM920431.1,,
D88324.1,EU710741.1,,
D88323.1,EU667998.1,,
D88319.1,EU594361.1,,
U21298.1,EU590663.1,,
M55628.1,EU381148.1,,
,EU273880.1,,
,EU203859.1,,
,EF413620.1,,
,EF608151.1,,
,EF607282.1,,
,EF491160.1,,
,EF411061.1,,
,EF395943.1,,
,DQ304714.1,,
,DQ304713.1,,
,EF060614.1,,
,EF060600.1,,
,DQ810190.1,,
,AF548090.1,,
,AF548089.1,,
,NG_062634.1,,
,AF548087.1,,
,AF548083.1,,
,AF548082.1,,
,DQ401106.1,,
,DQ401105.1,,
,AY297772.1,,
,AJ783949.1,,
,AY172590.1,,
,AB074658.1,,
,AF530541.1,,
,AF411201.1,,
,DQ266450.1,,
,AY960110.1,,
,AB028137.1,,
,AB069704.1,,
,AF236103.1,,
,AB028190.1,,
,AJ005446.1,,
,D88323.1,,
,U21298.1,,
,GQ169432.1,,
,EF060562.1,,
